index,English,Indonesian,ParseTree,Complexity,English_normalized,Indonesian_normalized
3683,The train station will be closed from tomorrow.,Stasiun kereta akan ditutup mulai besok.,(S (NP (DT The) (NN train) (NN station)) (VP (MD will) (VP (VB be) (VP (VBN closed) (PP (IN from) (NP (NN tomorrow)))))) (. .)),simple,the train station will be closed from tomorrow .,stasiun kereta akan ditutup mulai besok .
4215,The United States has almost a fourth of the world's prison population.,Amerika Serikat memiliki hampir seperempat penghuni penjara dunia.,(S (NP (DT The) (NNP United) (NNPS States)) (VP (VBZ has) (NP (NP (QP (RB almost) (DT a) (JJ fourth))) (PP (IN of) (NP (NP (DT the) (NN world) (POS 's)) (NN prison) (NN population))))) (. .)),simple,the united states has almost a fourth of the world s prison population .,amerika serikat memiliki hampir seperempat penghuni penjara dunia .
2610,Tom saw Mary heading into the woods.,Tom melihat Mary pergi ke hutan.,(S (NP (NNP Tom)) (VP (VBD saw) (S (NP (NNP Mary)) (VP (VBG heading) (PP (IN into) (NP (DT the) (NNS woods)))))) (. .)),simple,tom saw mary heading into the woods .,tom melihat mary pergi ke hutan .
1476,Have you ever been to America?,Pernah ke Amerika?,(SQ (VBP Have) (NP (PRP you)) (ADVP (RB ever)) (VP (VBN been) (PP (IN to) (NP (NNP America)))) (. ?)),simple,have you ever been to america ?,pernah ke amerika ?
1235,Tom is playing with his son.,Tom bermain dengan anak laki-lakinya.,(S (NP (NNP Tom)) (VP (VBZ is) (VP (VBG playing) (PP (IN with) (NP (PRP$ his) (NN son))))) (. .)),simple,tom is playing with his son .,tom bermain dengan anak laki lakinya .
247,Don't make fun of me.,Jangan mempermainkanku.,(S (VP (VBP Do) (RB n't) (VP (VB make) (NP (NN fun)) (PP (IN of) (NP (PRP me))))) (. .)),simple,don t make fun of me .,jangan mempermainkanku .
3535,The accident happened previous to my arrival.,Kecelakaan itu terjadi sebelum kedatanganku.,(S (NP (DT The) (NN accident)) (VP (VBD happened) (ADVP (JJ previous) (PP (IN to) (NP (PRP$ my) (NN arrival))))) (. .)),simple,the accident happened previous to my arrival .,kecelakaan itu terjadi sebelum kedatanganku .
3966,Both Tom and Mary lived in Boston when they were kids.,Tom dan Mary sama-sama tinggal di Boston ketika mereka masih kecil.,(S (NP (DT Both) (NNP Tom) (CC and) (NNP Mary)) (VP (VBD lived) (PP (IN in) (NP (NNP Boston))) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBD were) (NP (NNS kids)))))) (. .)),complex,both tom and mary lived in boston when they were kids .,tom dan mary sama sama tinggal di boston ketika mereka masih kecil .
3416,"At first, he could not speak English at all.","Pada awalnya, ia tidak bisa bebicara Bahasa Inggris sama sekali.","(S (PP (IN At) (ADVP (RB first))) (, ,) (NP (PRP he)) (VP (MD could) (RB not) (VP (VB speak) (NP (NNP English)) (ADVP (RB at) (RB all)))) (. .))",simple,at first he could not speak english at all .,pada awalnya ia tidak bisa bebicara bahasa inggris sama sekali .
2704,These books aren't just for children.,Buku-buku ini bukan hanya untuk anak-anak.,(S (NP (DT These) (NNS books)) (VP (VBP are) (RB n't) (PP (ADVP (RB just)) (IN for) (NP (NNS children)))) (. .)),simple,these books aren t just for children .,buku buku ini bukan hanya untuk anak anak .
2638,Did you do your homework by yourself?,Apakah kamu sendiri yang mengerjakan PR-mu?,(SQ (VBD Did) (NP (PRP you)) (VP (VB do) (NP (PRP$ your) (NN homework)) (PP (IN by) (NP (PRP yourself)))) (. ?)),simple,did you do your homework by yourself ?,apakah kamu sendiri yang mengerjakan pr mu ?
3215,"When it comes to fishing, he's an expert.","Ketika memancing, dialah ahlinya.","(S (SBAR (WHADVP (WRB When)) (S (NP (PRP it)) (VP (VBZ comes) (PP (IN to) (NP (NN fishing)))))) (, ,) (NP (PRP he)) (VP (VBZ 's) (NP (DT an) (NN expert))) (. .))",complex,when it comes to fishing he s an expert .,ketika memancing dialah ahlinya .
2978,Tom loves listening to classical music.,Tom suka mendengarkan musik klasik.,(S (NP (NNP Tom)) (VP (VBZ loves) (S (VP (VBG listening) (PP (IN to) (NP (JJ classical) (NN music)))))) (. .)),simple,tom loves listening to classical music .,tom suka mendengarkan musik klasik .
1983,What was Tom doing in your room?,Apa yang Tom lakukan di kamarmu?,(SBARQ (WHNP (WP What)) (SQ (VBD was) (NP (NNP Tom)) (VP (VBG doing) (PP (IN in) (NP (PRP$ your) (NN room))))) (. ?)),simple,what was tom doing in your room ?,apa yang tom lakukan di kamarmu ?
2283,Tom often borrows books from Mary.,Tom sering meminjam buku dari Mary.,(S (NP (NNP Tom)) (ADVP (RB often)) (VP (VBZ borrows) (NP (NNS books)) (PP (IN from) (NP (NNP Mary)))) (. .)),simple,tom often borrows books from mary .,tom sering meminjam buku dari mary .
2659,I heard something fall to the ground.,Aku dengar sesuatu jatuh ke tanah.,(S (NP (PRP I)) (VP (VBD heard) (S (NP (NN something)) (VP (VB fall) (PP (IN to) (NP (DT the) (NN ground)))))) (. .)),simple,i heard something fall to the ground .,aku dengar sesuatu jatuh ke tanah .
1468,Does Tom Jackson work for you?,Apakah Tom Jackson bekerja untuk mu?,(SQ (VBZ Does) (NP (NNP Tom) (NNP Jackson)) (VP (VB work) (PP (IN for) (NP (PRP you)))) (. ?)),simple,does tom jackson work for you ?,apakah tom jackson bekerja untuk mu ?
2486,Did you hear about yesterday's fire?,Apa kamu dengar tentang kebakaran yang terjadi kemarin?,(SQ (VBD Did) (NP (PRP you)) (VP (VB hear) (PP (IN about) (NP (NP (NN yesterday) (POS 's)) (NN fire)))) (. ?)),simple,did you hear about yesterday s fire ?,apa kamu dengar tentang kebakaran yang terjadi kemarin ?
2124,Tom took charge of the situation.,Tom mengambil alih situasi.,(S (NP (NNP Tom)) (VP (VBD took) (NP (NN charge)) (PP (IN of) (NP (DT the) (NN situation)))) (. .)),simple,tom took charge of the situation .,tom mengambil alih situasi .
4229,"We are all equal before the law, but the rich often have a big advantage.","Di hadapan hukum kita semua sejajar, tetapi orang kaya terkadang memiliki keuntungan lebih.","(S (S (NP (PRP We)) (VP (VBP are) (DT all) (ADJP (JJ equal)) (PP (IN before) (NP (DT the) (NN law))))) (, ,) (CC but) (S (NP (DT the) (JJ rich)) (ADVP (RB often)) (VP (VBP have) (NP (DT a) (JJ big) (NN advantage)))) (. .))",compound,we are all equal before the law but the rich often have a big advantage .,di hadapan hukum kita semua sejajar tetapi orang kaya terkadang memiliki keuntungan lebih .
278,I'll go home by taxi.,Saya pulang ke rumah naik taksi.,(S (NP (PRP I)) (VP (MD 'll) (VP (VB go) (ADVP (RB home)) (PP (IN by) (NP (NN taxi))))) (. .)),simple,i ll go home by taxi .,saya pulang ke rumah naik taksi .
952,Tom was in seventh heaven.,Tom sudah ada di langit ketujuh,(S (NP (NNP Tom)) (VP (VBD was) (PP (IN in) (NP (JJ seventh) (NN heaven)))) (. .)),simple,tom was in seventh heaven .,tom sudah ada di langit ketujuh
2499,How long did you live on the island?,Sudah berapa lama Anda tinggal di pulau tersebut?,(SBARQ (WHADVP (WRB How) (RB long)) (SQ (VBD did) (NP (PRP you)) (VP (VB live) (PP (IN on) (NP (DT the) (NN island))))) (. ?)),simple,how long did you live on the island ?,sudah berapa lama anda tinggal di pulau tersebut ?
3541,The kitten was drinking milk under the table.,Anak kucing minum susu di bawah meja.,(S (NP (DT The) (NN kitten)) (VP (VBD was) (VP (VBG drinking) (NP (NN milk)) (PP (IN under) (NP (DT the) (NN table))))) (. .)),simple,the kitten was drinking milk under the table .,anak kucing minum susu di bawah meja .
1421,Tom got stung by a jellyfish.,Tom disengat ubur-ubur.,(S (NP (NNP Tom)) (VP (VBD got) (VP (VBN stung) (PP (IN by) (NP (DT a) (NN jellyfish))))) (. .)),simple,tom got stung by a jellyfish .,tom disengat ubur ubur .
1309,"Fill it with regular, please.",Tolong isi penuh dengan yang reguler.,"(S (VP (VB Fill) (NP (PRP it)) (PP (IN with) (NP (JJ regular))) (, ,) (ADVP (RB please))) (. .))",simple,fill it with regular please .,tolong isi penuh dengan yang reguler .
2856,Tom spends a lot of time on the beach.,Tom menghabiskan banyak waktu di pantai.,(S (NP (NNP Tom)) (VP (VBZ spends) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN time)))) (PP (IN on) (NP (DT the) (NN beach)))) (. .)),simple,tom spends a lot of time on the beach .,tom menghabiskan banyak waktu di pantai .
4133,They say that the Vikings discovered America before Columbus.,Ada yang bilang kalau bangsa Viking lebih dulu menemukan benua Amerika sebelum Columbus.,(S (NP (PRP They)) (VP (VBP say) (SBAR (IN that) (S (NP (DT the) (NNPS Vikings)) (VP (VBD discovered) (NP (NNP America)) (PP (IN before) (NP (NNP Columbus))))))) (. .)),complex,they say that the vikings discovered america before columbus .,ada yang bilang kalau bangsa viking lebih dulu menemukan benua amerika sebelum columbus .
4003,"That may mean nothing to you, but it means a lot to me.","Mungkin itu tidak berarti apa-apa bagimu, tetapi itu sangat berarti bagiku.","(S (S (NP (DT That)) (VP (MD may) (VP (VB mean) (NP (NN nothing)) (PP (IN to) (NP (PRP you)))))) (, ,) (CC but) (S (NP (PRP it)) (VP (VBZ means) (NP (DT a) (NN lot)) (PP (IN to) (NP (PRP me))))) (. .))",compound,that may mean nothing to you but it means a lot to me .,mungkin itu tidak berarti apa apa bagimu tetapi itu sangat berarti bagiku .
3071,Tom bought three bars of soap yesterday.,Tom membeli tiga batang sabun kemarin.,(S (NP (NNP Tom)) (VP (VBD bought) (NP (NP (CD three) (NNS bars)) (PP (IN of) (NP (NN soap)))) (NP (NN yesterday))) (. .)),simple,tom bought three bars of soap yesterday .,tom membeli tiga batang sabun kemarin .
155,I'll come with you.,Aku akan ikut denganmu.,(S (NP (PRP I)) (VP (MD 'll) (VP (VB come) (PP (IN with) (NP (PRP you))))) (. .)),simple,i ll come with you .,aku akan ikut denganmu .
985,Can I find you on Facebook?,Bisakah aku menemukanmu di Facebook?,(SQ (MD Can) (NP (PRP I)) (VP (VB find) (NP (PRP you)) (PP (IN on) (NP (NNP Facebook)))) (. ?)),simple,can i find you on facebook ?,bisakah aku menemukanmu di facebook ?
2882,Astronomy is by no means a new science.,Astronomi sama sekali bukanlah ilmu yang baru.,(S (NP (NN Astronomy)) (VP (VBZ is) (PP (IN by) (NP (DT no) (NNS means))) (NP (DT a) (JJ new) (NN science))) (. .)),simple,astronomy is by no means a new science .,astronomi sama sekali bukanlah ilmu yang baru .
1351,I think I'm fluent in French.,Aku rasa aku lancar berbahasa Prancis.,(S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ fluent) (PP (IN in) (NP (NNP French)))))))) (. .)),complex,i think i m fluent in french .,aku rasa aku lancar berbahasa prancis .
1392,Somebody knocked on the door.,Ada yang mengetuk pintu.,(S (NP (NN Somebody)) (VP (VBD knocked) (PP (IN on) (NP (DT the) (NN door)))) (. .)),simple,somebody knocked on the door .,ada yang mengetuk pintu .
1837,He reminds me of my grandfather.,Dia mengingatkan pada kakekku.,(S (NP (PRP He)) (VP (VBZ reminds) (NP (PRP me)) (PP (IN of) (NP (PRP$ my) (NN grandfather)))) (. .)),simple,he reminds me of my grandfather .,dia mengingatkan pada kakekku .
1612,Tom ran out of food and water.,Tom kehabisan makanan dan minuman.,(S (NP (NNP Tom)) (VP (VBD ran) (PP (IN out) (PP (IN of) (NP (NN food) (CC and) (NN water))))) (. .)),simple,tom ran out of food and water .,tom kehabisan makanan dan minuman .
1878,I'm looking for a part-time job.,Saya sedang mencari pekerjaan paruh-waktu.,(S (NP (PRP I)) (VP (VBP 'm) (VP (VBG looking) (PP (IN for) (NP (DT a) (NML (JJ part) (HYPH -) (NN time)) (NN job))))) (. .)),simple,i m looking for a part time job .,saya sedang mencari pekerjaan paruh waktu .
1641,Does this remind you of anyone?,Apakah ini mengingatkanmu pada seseorang?,(SQ (VBZ Does) (NP (DT this)) (VP (VB remind) (NP (PRP you)) (PP (IN of) (NP (NN anyone)))) (. ?)),simple,does this remind you of anyone ?,apakah ini mengingatkanmu pada seseorang ?
1510,I like to listen to the radio.,Aku suka mendengarkan radio.,(S (NP (PRP I)) (VP (VBP like) (S (VP (TO to) (VP (VB listen) (PP (IN to) (NP (DT the) (NN radio))))))) (. .)),simple,i like to listen to the radio .,aku suka mendengarkan radio .
4075,"In the near future, we will be able to put an end to AIDS.",Dalam waktu dekat ini kita akan mampu mengobati AIDS,"(S (PP (IN In) (NP (DT the) (JJ near) (NN future))) (, ,) (NP (PRP we)) (VP (MD will) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB put) (NP (DT an) (NN end)) (PP (IN to) (NP (NNP AIDS))))))))) (. .))",simple,in the near future we will be able to put an end to aids .,dalam waktu dekat ini kita akan mampu mengobati aids
3713,He regretted having borrowed that book from her.,Dia menyesal telah meminjam buku itu darinya.,(S (NP (PRP He)) (VP (VBD regretted) (S (VP (VBG having) (VP (VBN borrowed) (NP (DT that) (NN book)) (PP (IN from) (NP (PRP her))))))) (. .)),simple,he regretted having borrowed that book from her .,dia menyesal telah meminjam buku itu darinya .
700,Don't let go of the rope.,Jangan lepaskan talinya.,(S (VP (VBP Do) (RB n't) (VP (VB let) (PRT (VB go)) (PP (IN of) (NP (DT the) (NN rope))))) (. .)),simple,don t let go of the rope .,jangan lepaskan talinya .
2110,Tom knew that Mary was in danger.,Tom tau kalau Mary dalam bahaya.,(S (NP (NNP Tom)) (VP (VBD knew) (SBAR (IN that) (S (NP (NNP Mary)) (VP (VBD was) (PP (IN in) (NP (NN danger))))))) (. .)),complex,tom knew that mary was in danger .,tom tau kalau mary dalam bahaya .
644,Tom is in constant pain.,Tom merasakan sakit yang tidak ada henti-hentinya.,(S (NP (NNP Tom)) (VP (VBZ is) (PP (IN in) (NP (JJ constant) (NN pain)))) (. .)),simple,tom is in constant pain .,tom merasakan sakit yang tidak ada henti hentinya .
3933,Is there something that you can't stop talking about?,Adakah hal yang tidak bisa kamu berhenti bicarakan?,(SQ (VBZ Is) (NP (EX there)) (NP (NP (NN something)) (SBAR (WHNP (WDT that)) (S (NP (PRP you)) (VP (MD ca) (RB n't) (VP (VB stop) (S (VP (VBG talking) (PP (IN about))))))))) (. ?)),complex,is there something that you can t stop talking about ?,adakah hal yang tidak bisa kamu berhenti bicarakan ?
929,The sun rises in the east.,Matahari terbit dari timur.,(S (NP (DT The) (NN sun)) (VP (VBZ rises) (PP (IN in) (NP (DT the) (NN east)))) (. .)),simple,the sun rises in the east .,matahari terbit dari timur .
2897,He sat surrounded by his grandchildren.,Dia duduk sambil dikelilingi cucu-cucunya.,(S (NP (PRP He)) (VP (VBD sat) (S (VP (VBN surrounded) (PP (IN by) (NP (PRP$ his) (NNS grandchildren)))))) (. .)),simple,he sat surrounded by his grandchildren .,dia duduk sambil dikelilingi cucu cucunya .
4178,"When I was a child, my mother would often read fairy tales to me.","Ketika aku kecil, ibu sering membacakan dongeng untukku.","(S (SBAR (WHADVP (WRB When)) (S (NP (PRP I)) (VP (VBD was) (NP (DT a) (NN child))))) (, ,) (NP (PRP$ my) (NN mother)) (VP (MD would) (ADVP (RB often)) (VP (VB read) (NP (JJ fairy) (NNS tales)) (PP (IN to) (NP (PRP me))))) (. .))",complex,when i was a child my mother would often read fairy tales to me .,ketika aku kecil ibu sering membacakan dongeng untukku .
2752,You should be very proud of yourself.,Kamu pasti sangat bangga dengan dirimu.,(S (NP (PRP You)) (VP (MD should) (VP (VB be) (ADJP (RB very) (JJ proud) (PP (IN of) (NP (PRP yourself)))))) (. .)),simple,you should be very proud of yourself .,kamu pasti sangat bangga dengan dirimu .
246,Can we come with you?,Bolehkah kami datang denganmu?,(SQ (MD Can) (NP (PRP we)) (VP (VB come) (PP (IN with) (NP (PRP you)))) (. ?)),simple,can we come with you ?,bolehkah kami datang denganmu ?
2855,Tom saw a boy waiting at the bus stop.,Tom melihat seorang anak laki-laki menunggu di halte.,(S (NP (NNP Tom)) (VP (VBD saw) (S (NP (DT a) (NN boy)) (VP (VBG waiting) (PP (IN at) (NP (DT the) (NN bus) (NN stop)))))) (. .)),simple,tom saw a boy waiting at the bus stop .,tom melihat seorang anak laki laki menunggu di halte .
923,Thanks for your hard work.,Terima kasih atas kerja kerasmu.,(NP (NP (NNS Thanks)) (PP (IN for) (NP (PRP$ your) (JJ hard) (NN work))) (. .)),simple,thanks for your hard work .,terima kasih atas kerja kerasmu .
1185,"In Japan, it's now 3:00 a.m.","Di Jepang, sekarang 3:00 pagi.","(S (PP (IN In) (NP (NNP Japan))) (, ,) (NP (PRP it)) (VP (VBZ 's) (ADVP (RB now)) (NP (CD 3:00) (. a.m.))))",simple,in japan it s now a .m .,di jepang sekarang pagi .
4035,It was in this room that we had the meeting last Friday.,Hari Jumat lalu kita rapat di ruangan ini.,(S (NP (PRP It)) (VP (VBD was) (PP (IN in) (NP (DT this) (NN room))) (SBAR (WHADVP (WDT that)) (S (NP (PRP we)) (VP (VBD had) (NP (DT the) (NN meeting)) (NP (JJ last) (NNP Friday)))))) (. .)),complex,it was in this room that we had the meeting last friday .,hari jumat lalu kita rapat di ruangan ini .
669,What did you talk about?,Kamu membicarakan tentang apa?,(SBARQ (WHNP (WP What)) (SQ (VBD did) (NP (PRP you)) (VP (VB talk) (PP (IN about)))) (. ?)),simple,what did you talk about ?,kamu membicarakan tentang apa ?
2442,Tom never goes to places like that.,Tom tidak pernah pergi ke tempat seperti itu.,(S (NP (NNP Tom)) (ADVP (RB never)) (VP (VBZ goes) (PP (IN to) (NP (NP (NNS places)) (PP (IN like) (NP (DT that)))))) (. .)),simple,tom never goes to places like that .,tom tidak pernah pergi ke tempat seperti itu .
1507,I have my own bedroom at home.,Aku punya kamar tidurku sendiri di rumah.,(S (NP (PRP I)) (VP (VBP have) (NP (PRP$ my) (JJ own) (NN bedroom)) (PP (IN at) (NP (NN home)))) (. .)),simple,i have my own bedroom at home .,aku punya kamar tidurku sendiri di rumah .
4024,He said he would run 200 kilometers in a day and he did.,Dia bilang dia ingin lari 200 kilometer dalam sehari dan dia melaksanakannya.,(S (S (NP (PRP He)) (VP (VBD said) (SBAR (S (NP (PRP he)) (VP (MD would) (VP (VB run) (NP (CD 200) (NNS kilometers)) (PP (IN in) (NP (DT a) (NN day))))))))) (CC and) (S (NP (PRP he)) (VP (VBD did))) (. .)),complex,he said he would run kilometers in a day and he did .,dia bilang dia ingin lari kilometer dalam sehari dan dia melaksanakannya .
2889,Don't confuse astrology with astronomy.,Jangan mencampuradukkan astrologi dengan astronomi.,(S (VP (VBP Do) (RB n't) (VP (VB confuse) (NP (NN astrology)) (PP (IN with) (NP (NN astronomy))))) (. .)),simple,don t confuse astrology with astronomy .,jangan mencampuradukkan astrologi dengan astronomi .
2880,Are you going to the station in a taxi?,Apakah kamu akan pergi ke stasiun naik taksi?,(SQ (VBP Are) (NP (PRP you)) (VP (VBG going) (PP (IN to) (NP (DT the) (NN station))) (PP (IN in) (NP (DT a) (NN taxi)))) (. ?)),simple,are you going to the station in a taxi ?,apakah kamu akan pergi ke stasiun naik taksi ?
3632,Tom is too old to be doing this kind of thing.,Tom terlalu tua untuk melakukan hal semacam ini.,(S (NP (NNP Tom)) (VP (VBZ is) (ADJP (RB too) (JJ old) (S (VP (TO to) (VP (VB be) (VP (VBG doing) (NP (NP (DT this) (NN kind)) (PP (IN of) (NP (NN thing)))))))))) (. .)),simple,tom is too old to be doing this kind of thing .,tom terlalu tua untuk melakukan hal semacam ini .
